代码,名称,总市值,成交量
600276,恒瑞医药,424316187945.0,740340
601633,长城汽车,185962560451.0,249683
601088,中国神华,824742263332.0,222889
603288,海天味业,221316019382.0,143945
600011,华能国际,115380986189.0,677118
002245,蔚蓝锂芯,20664746718.0,574459
003031,中瓷电子,34906980758.0,119561
600019,宝钢股份,156831010193.0,995619
601298,青岛港,53746308000.0,147837
002409,雅克科技,41691264593.0,214568
000807,云铝股份,114061119050.0,954002
601618,中国中冶,63414274660.0,2208325
603799,华友钴业,141135493052.0,669892
600418,江淮汽车,104330147716.0,660397
600873,梅花生物,28547179997.0,412512
600038,中直股份,30590215777.0,231434
600021,上海电力,59781968485.0,1676720
601318,中国平安,1222809063922.0,1502151
600663,陆家嘴,40885447873.0,91774
600816,建元信托,29730233727.0,2803484
601857,中国石油,1826549358624.0,2059373
600023,浙能电力,67043663745.0,562805
601399,国机重装,43497742017.0,4326703
000598,兴蓉环境,20947741221.0,200250
000858,五 粮 液,415021527895.0,197374
000999,华润三九,47746410346.0,122323
601000,唐山港,23348158739.0,388621
601919,中远海控,227701275293.0,782687
600795,国电电力,87751245883.0,1874609
601186,中国铁建,105105651210.0,706903
002129,TCL中环,35336831856.0,1380353
600635,大众公用,20106080137.0,1386134
601838,成都银行,68323577939.0,426386
000887,中鼎股份,29963306642.0,543510
600143,金发科技,52591127519.0,2241442
601601,中国太保,437052112301.0,392054
600956,新天绿能,33574436463.0,129025
603728,鸣志电器,30243316500.0,140120
600919,XD江苏银,186449456544.0,1504825
600177,雅戈尔,34213470075.0,191705
601600,中国铝业,237090835318.0,3808488
603092,德力佳,26292006573.0,21794
000935,四川双马,21032781174.0,102925
601390,中国中铁,136268296672.0,1311893
601939,建设银行,2380563471277.0,1209989
601669,中国电建,93882568370.0,4274594
000876,新 希 望,40750107469.0,403584
600803,新奥股份,61539130751.0,80994
600941,中国移动,2144331177051.0,172108
600120,浙江东方,24351670038.0,2454612
002594,比亚迪,876071514021.0,498723
600900,长江电力,661865289218.0,785385
600660,福耀玻璃,157967775992.0,222090
600580,卧龙电驱,72435388985.0,1195939
600862,中航高科,35104837496.0,945558
002984,森麒麟,21517417340.0,183904
601888,中国中免,187976532738.0,558610
600320,振华重工,27132020530.0,787310
600221,海航控股,73466575310.0,5161082
002926,华西证券,24517500000.0,247633
601006,大秦铁路,102549134574.0,1454370
603699,纽威股份,39233866765.0,60035
600348,华阳股份,29942250000.0,648890
600606,绿地控股,23330002401.0,1266054
600157,永泰能源,35999310839.0,9142609
002966,苏州银行,36480602010.0,485826
600563,法拉电子,23782500000.0,47053
603529,爱玛科技,26273738110.0,81721
000768,中航西飞,78539649765.0,1022433
601825,沪农商行,86028444449.0,187115
001286,陕西能源,35775000000.0,196984
000739,普洛药业,20353853630.0,425493
605117,德业股份,76138623813.0,117446
600039,四川路桥,89303715924.0,199801
002142,宁波银行,190777737981.0,655389
601988,中国银行,1765724016741.0,3537673
002475,立讯精密,392632995219.0,1334982
600329,达仁堂,35416639432.0,41861
600612,老凤祥,23984949479.0,26543
601009,南京银行,132784712211.0,1192836
002299,圣农发展,20038960943.0,143305
600016,民生银行,167248838678.0,3888617
002428,云南锗业,24387500800.0,1003851
000568,泸州老窖,171437080431.0,125144
601066,中信建投,199347056283.0,226086
600985,淮北矿业,30326093063.0,214719
002048,宁波华翔,24455685316.0,329439
000155,川能动力,23298644476.0,722537
600036,招商银行,1023421334489.0,1159365
601898,中煤能源,175146943514.0,238246
000423,东阿阿胶,31451828084.0,64875
600933,爱柯迪,20262707652.0,146398
601111,中国国航,151626778490.0,767952
603119,浙江荣泰,42194089400.0,177667
600104,上汽集团,175647840261.0,1057974
002318,久立特材,28924253312.0,174082
601117,中国化学,48488606254.0,905774
000528,柳    工,23433966646.0,501672
601577,长沙银行,37681958675.0,183137
600685,中船防务,44454775588.0,347590
601800,中国交建,137195250817.0,601515
601398,工商银行,2744328179585.0,3651925
