date,code,fund_mo_cf916e1ce7
2020-12-08,sh.600010,1.0133189110335683
2020-12-08,sh.600011,0.508999489038417
2020-12-08,sh.600015,0.43635532475328315
2020-12-09,sh.600000,-0.08462775936798403
2020-12-09,sh.600009,-1.8753811372410247
2020-12-09,sh.600010,1.011196124575445
2020-12-09,sh.600011,0.5140503759769174
2020-12-09,sh.600015,0.4347623960566464
2020-12-10,sh.600000,-0.08233878412667428
2020-12-10,sh.600009,-1.8769247313563138
2020-12-10,sh.600010,1.007039272909735
2020-12-10,sh.600011,0.5140612727612884
2020-12-10,sh.600015,0.43816296981196473
2020-12-11,sh.600000,-0.0829043159808247
2020-12-11,sh.600009,-1.877757818145317
2020-12-11,sh.600010,1.0021677725640756
2020-12-11,sh.600011,0.5208193219641182
2020-12-11,sh.600015,0.43767503959794796
2020-12-14,sh.600000,-0.08553211187069397
2020-12-14,sh.600009,-1.8764092318627363
2020-12-14,sh.600010,1.004901540303411
2020-12-14,sh.600011,0.5231458697087294
2020-12-14,sh.600015,0.43389393372129
2020-12-15,sh.600000,-0.08675871447078264
2020-12-15,sh.600009,-1.8771005988615586
2020-12-15,sh.600010,0.9995404544294486
2020-12-15,sh.600011,0.5318067675291438
2020-12-15,sh.600015,0.432512091373749
2020-12-16,sh.600000,-0.08951470974672505
2020-12-16,sh.600009,-1.8761975831756272
2020-12-16,sh.600010,0.9996787436763985
2020-12-16,sh.600011,0.5373387127809199
2020-12-16,sh.600015,0.42869483646503376
2020-12-17,sh.600000,-0.08761147197005871
2020-12-17,sh.600009,-1.8763442683375748
2020-12-17,sh.600010,1.0020168210979823
2020-12-17,sh.600011,0.5307462852665142
2020-12-17,sh.600015,0.431192633943137
2020-12-18,sh.600000,-0.07961024916018258
2020-12-18,sh.600009,-1.8776138191374798
2020-12-18,sh.600010,1.007509141452158
2020-12-18,sh.600011,0.5078321746780878
2020-12-18,sh.600015,0.44188275216741685
2020-12-21,sh.600000,-0.08145922131035603
2020-12-21,sh.600009,-1.8778255562951591
2020-12-21,sh.600010,1.0039327851342803
2020-12-21,sh.600011,0.5157930761330026
2020-12-21,sh.600015,0.4395589163382323
2020-12-22,sh.600000,-0.08477937961888087
2020-12-22,sh.600009,-1.8770446426188159
2020-12-22,sh.600010,1.0028946091555455
2020-12-22,sh.600011,0.5238801300756085
2020-12-22,sh.600015,0.43504928300654255
2020-12-23,sh.600000,-0.08610194688270026
